,repository_name,language
0,.github,
1,ads-advanced-tools-docs,
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-multi-token-completion,Python
21,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,amazon-pay-api-sdk-dotnet,C#
23,amazon-pay-api-sdk-java,Java
24,amazon-pay-api-sdk-nodejs,JavaScript
25,amazon-pay-api-sdk-php,PHP
26,amazon-pay-sdk-csharp,C#
27,amazon-pay-sdk-java,Java
28,amazon-pay-sdk-php,PHP
29,amazon-pay-sdk-python,Python
30,amazon-pay-sdk-ruby,Ruby
31,amazon-pay-sdk-samples,PHP
32,amazon-payment-files-tools,Kotlin
33,amazon-payments-magento-2-plugin,PHP
34,amazon-ray,Python
35,amazon-s3-gst-plugin,C
36,amazon-sidewalk-android-samples,
37,amazon-sidewalk-ios-samples,Swift
38,amazon-succinct-doc-representation,Python
39,amazon-template-library,C++
40,amazon-weak-ner-needle,Python
41,amigitenough,Go
42,amzn-drivers,C
43,amzn-ec2-ena-utilities,Python
44,armbench,Python
45,auction-gym,Jupyter Notebook
46,augment-the-pairs-wacv2024,Python
47,autotrail,Python
48,aws-apigateway-client-lib,
49,aws-sigv4-signing-samples,Java
50,awsssmchaosrunner,Kotlin
51,basis-point-sets,Python
52,buy-with-prime-automate-tenant-validation,JavaScript
53,buy-with-prime-cdk-constructs,TypeScript
54,buy-with-prime-event-accelerator,Python
55,buy-with-prime-monitoring-sample-cdk,TypeScript
56,buy-with-prime-oauth-handler-ec2,JavaScript
57,buy-with-prime-saas-integration,TypeScript
58,chalet-charging-location-for-electric-trucks,Python
59,computer-vision-basics-in-microsoft-excel,
60,confident-sinkhorn-allocation,Jupyter Notebook
61,convolutional-handwriting-gan,Python
62,cosearcher,Python
63,credence-to-causal-estimation,Python
64,data-jack-knife,Java
65,debiased-balanced-interleaving,Jupyter Notebook
66,differential-privacy-bayesian-optimization,Python
67,distance-assistant,Python
68,drs-sample-android-app,Java
69,drs-sample-ios-app,Objective-C
70,emukit-playground,JavaScript
71,eslint-plugin-no-date-parsing,TypeScript
72,exoplayer-amazon-port,Java
73,explainable-text-vqa,
74,extremely-efficient-query-encoder,Python
75,faithful-data2text-cycle-training,Python
76,fashion-attribute-disentanglement,Python
77,fire-app-builder,Java
78,firetv-sample-touch-app,Java
79,ftv-integration-sdk-sample-app,Kotlin
80,ftv-livetv-sample-tv-app,Java
81,gameon-sample-game-unity,C#
82,gameon-starter-kit-unity,C#
83,git-commit-template,JavaScript
84,glad,JavaScript
85,golang-gitoperations,Go
86,halo-third-party-sdk-for-java,Java
87,halo-third-party-sdk-for-node-js,TypeScript
88,halo-third-party-sdk-for-python,Python
89,hawktracer,C++
90,image-misspell-coling2020,
91,image-to-recipe-transformers,Python
92,informative-diverse-hard-negative-sampling,Python
93,ion-object-mapper-dotnet,C#
94,jekyll-doc-project,HTML
95,kqr,
96,login-with-amazon-oscommerce,PHP
97,login-with-amazon-wordpress,PHP
98,merlin-on-demand-callgraph,JavaScript
99,metalearn-leap,Python
100,milan,Scala
101,mrc-net-6d-pose,Python
102,multiconer-baseline,Python
103,multilingual-keyphrase-generation,Python
104,multimodal-affinities,Python
105,MXFusion,Python
106,nimbus-jose-jwt_aws-kms-extension,Java
107,node-jose_aws-kms-extension,TypeScript
108,openapi-swift-code-generate,Swift
109,orthogonal-additive-gaussian-processes,Python
110,oss-attribution-builder,TypeScript
111,oss-contribution-tracker,TypeScript
112,oss-dashboard,Ruby
113,pecos,Python
114,pretraining-or-self-training,Python
115,python-jose_aws-kms-extension,Python
116,rdma-core,C
117,refuel-open-domain-qa,Python
118,rete-thewebconf-2022,Python
119,rheoceros,Python
120,robotiq-gripper-interface,C++
121,sample-fire-tv-app-video-skill,Java
122,selling-partner-api-docs,
123,selling-partner-api-models,Mustache
124,selling-partner-api-samples,Python
125,seqzero,Python
126,service-model-swift-code-generate,Swift
127,sketch-constructor,JavaScript
128,smoke-aws,Swift
129,smoke-aws-credentials,Swift
130,smoke-aws-generate,Swift
131,smoke-aws-support,Swift
132,smoke-dynamodb,Swift
133,smoke-framework,Swift
134,smoke-framework-application-generate,Swift
135,smoke-framework-examples,Swift
136,smoke-http,Swift
137,sparse-vqvae,Python
138,ss-aga-kgc,Python
139,sto-transformer,Python
140,style-dictionary,JavaScript
141,supply-chain-simulation-environment,Python
142,tiny-attribution-generator,TypeScript
143,trans-encoder,Python
144,user-satisfaction-modeling,Python
145,workspace-resolver,JavaScript
146,ws-vae,Python
147,xfer,Python
148,zeek-plugin-bacnet,Zeek
149,zeek-plugin-enip,Zeek
